"","Open","High","Low","Close"
"2016-01-04",68.089996,68.18,66.769997,67.589996
"2016-01-05",67.370003,67.709999,65.669998,66.550003
"2016-01-06",65.239998,65.550003,64.239998,64.419998
"2016-01-07",63.310001,64.25,63.080002,63.84
"2016-01-08",64.18,64.410004,63.57,63.630001
"2016-01-11",63.740002,64.209999,63.099998,64.050003
"2016-01-12",64.800003,64.900002,63.599998,64.400002
"2016-01-13",63.650002,64.370003,62.23,62.849998
"2016-01-14",62.849998,63.75,62.369999,63.290001
"2016-01-15",62.029999,63.049999,61.5,62.91
"2016-01-19",63.41,63.790001,62.240002,62.639999
"2016-01-20",61.540001,63.540001,61.290001,63.029999
"2016-01-21",63,64.32,62.509998,62.639999
"2016-01-22",58.389999,58.889999,54.139999,55.060001
"2016-01-25",54.459999,55.77,54.139999,55.02
"2016-01-26",55.200001,55.740002,54.959999,55.09
"2016-01-27",55.369999,55.82,54.419998,54.52
"2016-01-28",54.68,54.759998,52.150002,52.880001
"2016-01-29",53.18,53.709999,53.049999,53.5
"2016-02-01",53.41,54.990002,53,54.700001
"2016-02-02",54.330002,54.389999,53.490002,53.66
"2016-02-03",54,54.290001,52.830002,54.110001
"2016-02-04",54.080002,54.459999,53.810001,54.380001
"2016-02-05",54.720001,54.849998,53.810001,53.98
"2016-02-08",53.240002,53.450001,52.23,52.400002
"2016-02-09",52.259998,53.02,51.91,52.630001
"2016-02-10",53,53.43,52.279999,52.290001
"2016-02-11",51.220001,51.59,50.27,51.110001
"2016-02-12",51.880001,52.73,51.639999,52.66
"2016-02-16",53.009998,53.48,52.73,53.18
"2016-02-17",53.5,54,53.299999,53.610001
"2016-02-18",53.5,54.349998,53.450001,54.150002
"2016-02-19",54.25,55.029999,54.029999,54.709999
"2016-02-22",54.709999,55.630001,54.709999,55.630001
"2016-02-23",55.52,55.599998,54.959999,55.110001
"2016-02-24",54.450001,54.869999,53.560001,54.639999
"2016-02-25",54.779999,55.389999,54.299999,55.389999
"2016-02-26",55.709999,55.900002,55.150002,55.380001
"2016-02-29",55.299999,56.150002,54.810001,55.580002
"2016-03-01",56.029999,56.84,55.619999,56.799999
"2016-03-02",56.880001,57.23,56.57,57.119999
"2016-03-03",57.16,58.18,57.16,58.09
"2016-03-04",58.439999,58.650002,57.810001,58.290001
"2016-03-07",58,59.48,57.630001,59
"2016-03-08",58.84,60,58.709999,59.43
"2016-03-09",59.73,59.790001,58.52,59.049999
"2016-03-10",59.290001,59.459999,58.049999,58.75
"2016-03-11",59.529999,59.91,59.02,59.459999
"2016-03-14",59.509998,59.939999,59.009998,59.57
"2016-03-15",59.360001,59.400002,58.630001,59.23
"2016-03-16",58.91,59.900002,58.720001,59.700001
"2016-03-17",59.549999,60.5,59.32,60.080002
"2016-03-18",60.310001,61.450001,60.029999,61.220001
"2016-03-21",60.990002,61.380001,60.849998,61.209999
"2016-03-22",60.77,60.900002,59.91,60.610001
"2016-03-23",60.700001,60.91,60.279999,60.630001
"2016-03-24",60.220001,60.52,59.599998,60.470001
"2016-03-28",60.77,60.790001,59.860001,60.279999
"2016-03-29",60.110001,60.650002,59.459999,60.599998
"2016-03-30",60.98,61,60.189999,60.290001
"2016-03-31",60.509998,61.52,60.279999,61.400002
"2016-04-01",60.98,61.66,60.560001,61.099998
"2016-04-04",61.009998,61.060001,60.459999,60.619999
"2016-04-05",60.139999,60.439999,59.68,60.189999
"2016-04-06",59.84,60.049999,59.419998,59.880001
"2016-04-07",59.450001,59.52,58.700001,58.860001
"2016-04-08",59,60.259998,58.990002,59.5
"2016-04-11",59.669998,60.080002,59.279999,59.799999
"2016-04-12",60,60.709999,59.799999,60.68
"2016-04-13",60.889999,62.43,60.84,62.16
"2016-04-14",62.16,62.68,61.970001,62.509998
"2016-04-15",62.66,62.84,61.91,62.139999
"2016-04-18",61.810001,62.630001,61.73,62.59
"2016-04-19",62.75,63.610001,62.740002,63.57
"2016-04-20",64.120003,65.330002,63.919998,65.019997
"2016-04-21",67,67.339996,65.400002,65.610001
"2016-04-22",65.050003,66.220001,65.050003,65.93
"2016-04-25",65.639999,65.849998,65.139999,65.699997
"2016-04-26",65.980003,66.43,65.629997,66.199997
"2016-04-27",66.389999,66.669998,65.830002,66.230003
"2016-04-28",65.730003,66.489998,65.559998,65.839996
"2016-04-29",65.57,65.790001,64.849998,65.43
"2016-05-02",65.580002,66.050003,65.18,65.68
"2016-05-03",65.029999,65.050003,64.330002,64.849998
"2016-05-04",64.129997,64.75,63.830002,64.260002
