"","Open","High","Low","Close"
"2016-01-04",141.380005,141.699997,139.429993,140.5
"2016-01-05",140.990005,141.699997,139.770004,141.070007
"2016-01-06",138.830002,139.350006,137.259995,138.830002
"2016-01-07",136.380005,136.669998,132.509995,133.009995
"2016-01-08",133.699997,135.100006,129.800003,129.990005
"2016-01-11",130.850006,131,128.919998,130.210007
"2016-01-12",131.580002,132.169998,129.639999,131.919998
"2016-01-13",132.699997,132.880005,127.75,128.119995
"2016-01-14",129.589996,130.070007,125.809998,129.199997
"2016-01-15",125.800003,127.139999,124.510002,125.629997
"2016-01-19",127.059998,127.220001,125.110001,126.059998
"2016-01-20",124,124.940002,119.82,122.139999
"2016-01-21",122.769997,125.980003,121.540001,123.400002
"2016-01-22",124.419998,125.68,123.32,124.610001
"2016-01-25",124.599998,125.239998,123.400002,124.010002
"2016-01-26",124.980003,128.149994,124.5,128.009995
"2016-01-27",119.900002,120.110001,115.019997,116.580002
"2016-01-28",117.099998,118.029999,115.059998,118.010002
"2016-01-29",118.139999,120.18,118.019997,120.129997
"2016-02-01",119.639999,122.290001,118.650002,121.559998
"2016-02-02",119.690002,120.279999,117.370003,117.519997
"2016-02-03",118.800003,122.129997,117.150002,121.870003
"2016-02-04",121.120003,124.910004,121.120003,123.610001
"2016-02-05",123.629997,124.169998,121.029999,122.559998
"2016-02-08",120.669998,121.330002,117.25,119.470001
"2016-02-09",117.980003,119.980003,117.43,118.879997
"2016-02-10",118.160004,119.459999,116.269997,116.360001
"2016-02-11",113.18,113.400002,102.099998,108.440002
"2016-02-12",105.120003,109.839996,105,108.629997
"2016-02-16",109.730003,112.760002,109,112.599998
"2016-02-17",114.029999,116.830002,113.989998,116.339996
"2016-02-18",116.910004,118.230003,116.68,117.57
"2016-02-19",117.309998,117.330002,114.419998,115.160004
"2016-02-22",115.160004,118.970001,115.160004,117.389999
"2016-02-23",116.970001,118.5,115.93,116.900002
"2016-02-24",115.370003,115.959999,112.510002,115.589996
"2016-02-25",116.349998,117.599998,115.779999,116.82
"2016-02-26",117.75,119.449997,117.5,118.160004
"2016-02-29",118.120003,119.470001,117.5,118.18
"2016-03-01",119.010002,120.989998,118.25,119.959999
"2016-03-02",119.629997,120.75,118.5,119.650002
"2016-03-03",118.839996,119.730003,118.25,119.610001
"2016-03-04",120.169998,122.230003,119.849998,121.07
"2016-03-07",120.800003,123.32,120.57,122.900002
"2016-03-08",121.980003,122.970001,121.309998,122.349998
"2016-03-09",122.379997,123.260002,122.029999,122.860001
"2016-03-10",123.139999,123.82,121.43,122.940002
"2016-03-11",124.129997,125.5,123.860001,124.629997
"2016-03-14",123.93,127,123.860001,126.339996
"2016-03-15",125.550003,126.370003,124.209999,126.360001
"2016-03-16",126.239998,128.130005,125.75,127.57
"2016-03-17",128.070007,131.600006,127.419998,130.699997
"2016-03-18",131.240005,134.679993,131.009995,133.960007
"2016-03-21",133.460007,136.779999,133.389999,135.860001
"2016-03-22",135.139999,136.100006,134.779999,135.119995
"2016-03-23",134.990005,135,132.740005,132.860001
"2016-03-24",131.610001,132.229996,130.029999,132.119995
"2016-03-28",132.529999,132.619995,130.550003,131.289993
"2016-03-29",129.830002,130.929993,128.179993,130.880005
"2016-03-30",131.479996,132.729996,128.020004,128.580002
"2016-03-31",128.089996,128.380005,125.25,126.940002
"2016-04-01",126.230003,127.089996,125.110001,126.959999
"2016-04-04",126.540001,127.970001,125.879997,126.339996
"2016-04-05",126.150002,128.589996,125.580002,127.029999
"2016-04-06",127.160004,128.039993,125.75,127.93
"2016-04-07",127,128.940002,126.559998,127
"2016-04-08",128.039993,130.020004,127.610001,127.879997
"2016-04-11",128.25,129.899994,127.68,127.910004
"2016-04-12",127.620003,130.380005,126.68,129.470001
"2016-04-13",130.490005,131.5,129.809998,131.139999
"2016-04-14",131.5,131.949997,130.529999,130.850006
"2016-04-15",130.949997,131.600006,130.679993,131.130005
"2016-04-18",131.130005,132.25,130.320007,131.970001
"2016-04-19",132.570007,133.850006,132.210007,132.679993
"2016-04-20",128.550003,131.360001,128.490005,130.570007
"2016-04-21",130.979996,132.639999,130.300003,130.740005
"2016-04-22",131.089996,131.830002,130.5,131.050003
"2016-04-25",130.449997,131,129.309998,130.75
"2016-04-26",131.25,133.270004,131.059998,133.240005
"2016-04-27",133.199997,137.889999,131.949997,137.080002
"2016-04-28",136.289993,137.720001,134.5,134.800003
"2016-04-29",134.419998,135.229996,132.809998,134.800003
"2016-05-02",134.380005,135,133.229996,134.009995
"2016-05-03",132.699997,133.309998,131.460007,132.490005
"2016-05-04",131.589996,132.309998,130.529999,130.889999
