"","Open","High","Low","Close"
"2016-01-04",30.549999,30.76,30.25,30.709999
"2016-01-05",30.68,30.84,30.450001,30.74
"2016-01-06",30.27,30.719999,30.049999,30.25
"2016-01-07",29.65,29.959999,28.85,28.969999
"2016-01-08",29.200001,29.299999,28.34,28.450001
"2016-01-11",28.540001,29.92,28.25,28.58
"2016-01-12",28.76,28.879999,28.34,28.639999
"2016-01-13",28.91,29.059999,28.200001,28.24
"2016-01-14",28.309999,29.25,28.290001,29.059999
"2016-01-15",28.139999,28.76,28.1,28.49
"2016-01-19",28.719999,28.889999,28.200001,28.49
"2016-01-20",27.93,28.43,27.48,28
"2016-01-21",28.129999,28.99,28.129999,28.59
"2016-01-22",28.549999,28.559999,27.709999,28.24
"2016-01-25",28.32,28.49,28,28.040001
"2016-01-26",28.07,28.540001,28.049999,28.309999
"2016-01-27",28.200001,28.58,27.82,28
"2016-01-28",28.219999,28.35,27.93,28.209999
"2016-01-29",28.459999,29.110001,28.34,29.1
"2016-02-01",29.01,29.030001,28.559999,28.639999
"2016-02-02",28.27,28.290001,27.92,28.24
"2016-02-03",28.389999,28.690001,27.870001,28.67
"2016-02-04",28.65,29.459999,28.49,29.18
"2016-02-05",29.15,29.200001,28.299999,28.540001
"2016-02-08",28.219999,28.27,27.76,28.17
"2016-02-09",27.75,28.540001,27.75,28.280001
"2016-02-10",28.370001,28.700001,28.25,28.299999
"2016-02-11",27.75,28.030001,27.1,27.450001
"2016-02-12",27.57,28.26,27.360001,28.26
"2016-02-16",28.58,29.030001,28.42,28.860001
"2016-02-17",29.139999,29.610001,29.120001,29.34
"2016-02-18",29.299999,29.35,28.99,29.08
"2016-02-19",28.940001,29.129999,28.68,29.02
"2016-02-22",29.02,29.49,29.02,29.41
"2016-02-23",29.209999,29.360001,29.08,29.219999
"2016-02-24",28.9,29.049999,28.4,28.959999
"2016-02-25",28.799999,29.280001,28.780001,29.23
"2016-02-26",29.299999,29.559999,29.290001,29.4
"2016-02-29",29.440001,29.549999,29.120001,29.139999
"2016-03-01",29.41,29.969999,29.309999,29.879999
"2016-03-02",29.780001,30.18,29.76,30.18
"2016-03-03",30.200001,30.4,30.059999,30.219999
"2016-03-04",30.219999,30.59,30.219999,30.459999
"2016-03-07",30.26,30.450001,30.129999,30.290001
"2016-03-08",30.08,30.219999,29.969999,30.059999
"2016-03-09",30.16,30.200001,29.969999,30.049999
"2016-03-10",30.17,30.290001,29.790001,29.940001
"2016-03-11",30.139999,30.58,30.139999,30.34
"2016-03-14",30.219999,30.370001,30.08,30.27
"2016-03-15",30.030001,30.370001,30.030001,30.280001
"2016-03-16",30.24,30.309999,30.07,30.17
"2016-03-17",30.219999,31.110001,30.18,30.959999
"2016-03-18",31.09,31.15,30.9,30.92
"2016-03-21",30.85,31.200001,30.790001,31.09
"2016-03-22",30.98,31.24,30.969999,31.059999
"2016-03-23",31.040001,31.24,31.01,31.07
"2016-03-24",30.91,31.110001,30.82,31.110001
"2016-03-28",31.139999,31.700001,31.1,31.49
"2016-03-29",31.459999,31.58,31.280001,31.48
"2016-03-30",31.76,31.950001,31.73,31.83
"2016-03-31",31.889999,32.049999,31.76,31.790001
"2016-04-01",31.5,32.02,31.450001,31.93
"2016-04-04",31.690001,31.709999,31.09,31.23
"2016-04-05",30.950001,31.129999,30.780001,30.98
"2016-04-06",30.889999,31.5,30.639999,30.9
"2016-04-07",30.719999,30.780001,30.51,30.629999
"2016-04-08",30.9,31.08,30.690001,30.790001
"2016-04-11",30.83,31,30.709999,30.709999
"2016-04-12",30.68,30.93,30.58,30.809999
"2016-04-13",30.98,31.1,30.940001,30.98
"2016-04-14",30.99,31.08,30.860001,31.02
"2016-04-15",31.07,31.1,30.93,31.030001
"2016-04-18",30.9,31.190001,30.9,31.059999
"2016-04-19",31.139999,31.209999,31.01,31.15
"2016-04-20",31.200001,31.35,31.049999,31.15
"2016-04-21",31.120001,31.280001,30.85,30.98
"2016-04-22",31.030001,31.18,30.309999,30.76
"2016-04-25",30.809999,30.860001,30.4,30.68
"2016-04-26",30.84,30.98,30.74,30.9
"2016-04-27",30.940001,31.01,30.82,30.93
"2016-04-28",30.74,31.219999,30.700001,30.9
"2016-04-29",30.75,30.969999,30.6,30.75
"2016-05-02",30.639999,30.99,30.629999,30.889999
"2016-05-03",30.639999,30.709999,30.35,30.629999
"2016-05-04",30.4,30.42,29.889999,30.07
