"","Open","High","Low","Close"
"2016-01-04",175.789993,177.190002,173.759995,177.139999
"2016-01-05",176.710007,177.5,172.919998,174.089996
"2016-01-06",171.309998,172.020004,169.100006,169.839996
"2016-01-07",166.669998,169.5,163.600006,164.619995
"2016-01-08",166.75,168.419998,163.630005,163.940002
"2016-01-11",165,166.460007,163.339996,165.729996
"2016-01-12",166.889999,168.179993,163.300003,165.710007
"2016-01-13",166.460007,167.100006,157.919998,158.990005
"2016-01-14",160.300003,162.509995,156.759995,161.389999
"2016-01-15",156.699997,157.990005,153.809998,155.610001
"2016-01-19",157.559998,158.759995,155.279999,156.820007
"2016-01-20",154.100006,158.369995,151.649994,153.75
"2016-01-21",153.970001,155.160004,151.490005,151.649994
"2016-01-22",154.580002,156.990005,153.860001,156.860001
"2016-01-25",156.399994,156.529999,151.119995,151.119995
"2016-01-26",151.119995,156.100006,151.119995,154.449997
"2016-01-27",153.589996,158.429993,153.190002,153.720001
"2016-01-28",155.009995,158.050003,152.529999,157.059998
"2016-01-29",158.639999,161.589996,157.779999,161.559998
"2016-02-01",160.410004,161,158.449997,159.649994
"2016-02-02",157,157,150.160004,151.699997
"2016-02-03",152.5,153.839996,147.009995,152.679993
"2016-02-04",152.300003,157.949997,152.009995,156.490005
"2016-02-05",157.570007,159.699997,155.690002,156.470001
"2016-02-08",153.830002,153.830002,145.25,149.25
"2016-02-09",145.520004,149.949997,145.100006,148.25
"2016-02-10",150,153.380005,147.210007,147.229996
"2016-02-11",143.410004,144.410004,139.050003,140.690002
"2016-02-12",143.75,146.509995,143.699997,146.130005
"2016-02-16",149.600006,150.479996,147.449997,149.020004
"2016-02-17",150.800003,151.869995,150.309998,150.940002
"2016-02-18",151.25,152,147.369995,147.729996
"2016-02-19",147,147.729996,145.429993,146.910004
"2016-02-22",149.199997,149.990005,148.229996,148.789993
"2016-02-23",148,148.050003,144.050003,144.910004
"2016-02-24",143.080002,145.639999,140.259995,145.559998
"2016-02-25",146,149.070007,145.229996,148.25
"2016-02-26",149.720001,151.970001,149.009995,150.25
"2016-02-29",149.75,150.289993,148.320007,149.529999
"2016-03-01",150.949997,154.770004,150.679993,154.649994
"2016-03-02",154.75,155.410004,153.449997,154.199997
"2016-03-03",154,155.660004,153.360001,155.330002
"2016-03-04",156.369995,158.850006,155.289993,156.839996
"2016-03-07",156,156.369995,154.410004,155.350006
"2016-03-08",154,154.229996,151.5,151.600006
"2016-03-09",152.110001,152.5,149.179993,149.910004
"2016-03-10",150.410004,153.600006,148.839996,151.020004
"2016-03-11",153.279999,154.160004,152.369995,153.940002
"2016-03-14",153.660004,154.449997,152.130005,153.490005
"2016-03-15",152.649994,152.740005,150.899994,152.029999
"2016-03-16",150.919998,152.850006,149.710007,150.539993
"2016-03-17",150.389999,153.979996,148.75,152.910004
"2016-03-18",153.910004,158.179993,153.869995,157.600006
"2016-03-21",157.240005,158.899994,155.75,156.289993
"2016-03-22",155.5,155.589996,153.360001,154.199997
"2016-03-23",154.25,155.550003,153.589996,154.080002
"2016-03-24",152.399994,153.039993,150.130005,153
"2016-03-28",153.139999,154.639999,152.380005,153.839996
"2016-03-29",152.869995,155.350006,151.5,155.029999
"2016-03-30",156.130005,158.020004,154.889999,156.5
"2016-03-31",156.179993,157.479996,156.059998,156.979996
"2016-04-01",156.460007,160.009995,155.089996,159.820007
"2016-04-04",159.970001,160,157.389999,157.770004
"2016-04-05",156.440002,156.529999,154.550003,155.350006
"2016-04-06",155.259995,156.270004,153.919998,155.190002
"2016-04-07",153.649994,154.029999,149.369995,150.410004
"2016-04-08",152.070007,152.869995,150.009995,150.279999
"2016-04-11",151.179993,153.899994,150.410004,152.199997
"2016-04-12",152.669998,155.089996,151.300003,154.309998
"2016-04-13",156.529999,159.990005,156.380005,159.850006
"2016-04-14",159.529999,162.270004,159.149994,160.910004
"2016-04-15",161.229996,161.779999,158.199997,158.520004
"2016-04-18",157.610001,160,157.149994,159.020004
"2016-04-19",157.75,163.699997,157,162.649994
"2016-04-20",162,167.449997,161.940002,166.979996
"2016-04-21",166.550003,168.899994,165.009995,165.320007
"2016-04-22",165.789993,167.490005,165.660004,166.75
"2016-04-25",166,167.389999,164.059998,165.089996
"2016-04-26",165.380005,166,164.220001,165.839996
"2016-04-27",165.830002,168.660004,164.929993,166.919998
"2016-04-28",165.350006,167.320007,164.009995,164.289993
"2016-04-29",163.800003,164.679993,162.559998,164.110001
"2016-05-02",165.080002,167.190002,163.990005,166.179993
"2016-05-03",163.660004,164.110001,161.369995,163.139999
"2016-05-04",161.199997,162.600006,159.089996,160.070007
