"","Open","High","Low","Close"
"2016-01-04",130.110001,131.070007,129.449997,131.070007
"2016-01-05",131.149994,131.940002,130.050003,130.429993
"2016-01-06",129,129.899994,128.559998,129.080002
"2016-01-07",126.93,127.879997,124.699997,125.400002
"2016-01-08",126.440002,126.529999,123.5,123.900002
"2016-01-11",124.870003,126.080002,124.089996,125.779999
"2016-01-12",126.779999,128.800003,125.830002,127.489998
"2016-01-13",127.470001,127.470001,120.970001,121.400002
"2016-01-14",121.290001,121.519997,118.199997,119.620003
"2016-01-15",117.120003,121.150002,116.099998,119.230003
"2016-01-19",120.540001,121.889999,118.800003,119.760002
"2016-01-20",117.889999,118.660004,113.589996,116.459999
"2016-01-21",117.379997,121.940002,117.139999,120.220001
"2016-01-22",121.639999,124.669998,121.580002,122.760002
"2016-01-25",123.379997,123.849998,121.559998,121.709999
"2016-01-26",121.730003,122.449997,120.639999,122.199997
"2016-01-27",122.459999,124.32,120.860001,121.57
"2016-01-28",121.970001,122.690002,120.309998,122.279999
"2016-01-29",123.169998,125.760002,122.75,125.760002
"2016-02-01",124.919998,127.089996,123.989998,126.510002
"2016-02-02",125.410004,126.43,124.709999,125.269997
"2016-02-03",126.019997,126.160004,121.540001,123.790001
"2016-02-04",123.650002,123.900002,119.449997,121.110001
"2016-02-05",120.889999,121,115.690002,116.43
"2016-02-08",114.93,115.970001,109.620003,111.849998
"2016-02-09",110.940002,115.290001,110.68,113.860001
"2016-02-10",114.5,116.160004,114.050003,114.330002
"2016-02-11",113.080002,114.190002,112.220001,113.269997
"2016-02-12",114.879997,116.43,113.519997,116.32
"2016-02-16",118.120003,120,117.699997,119.43
"2016-02-17",120.449997,121.68,119.870003,121.209999
"2016-02-18",120.93,121.110001,119.559998,119.970001
"2016-02-19",119.82,121.699997,118.75,121.690002
"2016-02-22",123,124.470001,122.129997,122.849998
"2016-02-23",127,127.190002,123.349998,124.529999
"2016-02-24",124.050003,125.779999,122.919998,125.610001
"2016-02-25",125.760002,126.860001,124.889999,126.860001
"2016-02-26",127.589996,127.75,125.93,126.260002
"2016-02-29",126.260002,126.989998,124.050003,124.120003
"2016-03-01",124.779999,125.970001,123.980003,125.699997
"2016-03-02",125.480003,125.870003,124.459999,125.589996
"2016-03-03",125.199997,127.260002,124.779999,126.800003
"2016-03-04",127.370003,127.5,125.160004,125.559998
"2016-03-07",125.010002,126.540001,125.010002,126.169998
"2016-03-08",125.220001,128.199997,125,126.720001
"2016-03-09",127.029999,127.519997,125.330002,126.029999
"2016-03-10",126.199997,127,124.309998,125.889999
"2016-03-11",126.970001,128.759995,126.730003,128.460007
"2016-03-14",128.429993,129.660004,128.100006,128.839996
"2016-03-15",128.779999,130.479996,128.619995,129.710007
"2016-03-16",129.630005,131.110001,128.809998,130.449997
"2016-03-17",130.100006,131.190002,129.320007,130.880005
"2016-03-18",131.139999,132.089996,130.830002,131.350006
"2016-03-21",131.529999,132.130005,130.270004,131.009995
"2016-03-22",130.610001,131.220001,129.919998,130.589996
"2016-03-23",130.589996,131.179993,129.949997,130.220001
"2016-03-24",129.539993,130.759995,129.460007,130.460007
"2016-03-28",130.600006,131.809998,130.490005,131.080002
"2016-03-29",131,132.899994,130.710007,132.470001
"2016-03-30",133.110001,133.929993,132.839996,133.419998
"2016-03-31",133.559998,134.289993,133,133.429993
"2016-04-01",133.100006,135.199997,133.100006,134.850006
"2016-04-04",136.070007,136.229996,134.350006,134.850006
"2016-04-05",134.199997,135.699997,133.899994,134.580002
"2016-04-06",134.25,135.740005,133.820007,135.440002
"2016-04-07",134.729996,135.240005,133.119995,133.869995
"2016-04-08",134.619995,134.619995,133.059998,133.619995
"2016-04-11",133.580002,135.080002,132.960007,133.009995
"2016-04-12",133.300003,134.720001,133.110001,134.380005
"2016-04-13",134.860001,134.860001,133.220001,133.839996
"2016-04-14",133.5,134.710007,132.880005,134.369995
"2016-04-15",134.410004,135.279999,133.970001,135.009995
"2016-04-18",134.809998,136.800003,134.740005,136.800003
"2016-04-19",136.800003,137,134.850006,135.440002
"2016-04-20",135.75,136.080002,134.479996,135.190002
"2016-04-21",135.229996,135.490005,134.389999,134.600006
"2016-04-22",134.850006,135.679993,133.410004,135.660004
"2016-04-25",135.179993,135.729996,134.279999,135.649994
"2016-04-26",135.089996,136.240005,134.880005,135.339996
"2016-04-27",135.369995,136.279999,134.759995,135.75
"2016-04-28",134.809998,135.440002,132.490005,132.729996
"2016-04-29",132.710007,134.300003,131.75,133.889999
"2016-05-02",134.369995,136.25,134.309998,136.050003
"2016-05-03",135.449997,135.839996,134.039993,134.539993
"2016-05-04",133.589996,135.399994,133.130005,135.160004
