"","Open","High","Low","Close"
"2016-01-04",33.880001,34.009998,33.459999,33.990002
"2016-01-05",33.959999,34,33.529999,33.830002
"2016-01-06",33.25,33.52,32.799999,33.080002
"2016-01-07",32.279999,33.009998,31.84,31.84
"2016-01-08",32.09,32.220001,31.43,31.51
"2016-01-11",31.809999,32.220001,31.68,32.060001
"2016-01-12",32.759998,32.889999,32.27,32.68
"2016-01-13",32.759998,32.93,31.83,31.91
"2016-01-14",31.969999,32.869999,31.799999,32.740002
"2016-01-15",29.73,30.5,29.450001,29.76
"2016-01-19",29.98,30.059999,29.48,29.799999
"2016-01-20",29.35,29.870001,29.209999,29.59
"2016-01-21",29.65,30.030001,29.24,29.66
"2016-01-22",30.120001,30.24,29.51,29.93
"2016-01-25",29.99,30.219999,29.57,29.6
"2016-01-26",29.610001,30.049999,29.610001,29.940001
"2016-01-27",29.879999,30.219999,29.639999,29.809999
"2016-01-28",30.02,30.18,29.75,29.969999
"2016-01-29",30.209999,31.030001,30.1,31.02
"2016-02-01",30.719999,31.120001,30.639999,30.82
"2016-02-02",30.450001,30.49,29.629999,29.799999
"2016-02-03",29.719999,29.719999,28.52,29.34
"2016-02-04",29.139999,29.879999,29.110001,29.77
"2016-02-05",29.58,29.76,28.91,29.040001
"2016-02-08",28.74,28.98,28.299999,28.82
"2016-02-09",28.49,29.15,28.41,28.809999
"2016-02-10",28.879999,29,28.190001,28.23
"2016-02-11",27.83,28.41,27.68,28.219999
"2016-02-12",28.57,28.700001,28.139999,28.639999
"2016-02-16",28.75,28.950001,28.360001,28.780001
"2016-02-17",28.860001,29.620001,28.73,29.469999
"2016-02-18",29.530001,29.76,29.379999,29.42
"2016-02-19",29.200001,29.33,28.709999,28.709999
"2016-02-22",29.110001,29.540001,29,29.35
"2016-02-23",29.299999,29.35,28.6,28.799999
"2016-02-24",28.52,29.299999,28.379999,29.190001
"2016-02-25",29.32,29.620001,28.950001,29.620001
"2016-02-26",29.879999,30.08,29.700001,29.799999
"2016-02-29",29.719999,30.139999,29.58,29.59
"2016-03-01",29.93,30.530001,29.75,30.370001
"2016-03-02",30.299999,30.870001,30.120001,30.540001
"2016-03-03",31.129999,31.35,30.540001,30.58
"2016-03-04",30.5,30.860001,30.049999,30.629999
"2016-03-07",30.59,31.120001,30.5,30.940001
"2016-03-08",30.83,30.879999,30.379999,30.559999
"2016-03-09",30.83,31.040001,30.67,30.870001
"2016-03-10",31.139999,31.4,30.379999,31.25
"2016-03-11",31.67,31.790001,31.530001,31.76
"2016-03-14",31.66,31.690001,31.299999,31.43
"2016-03-15",31.34,31.65,31.059999,31.65
"2016-03-16",31.49,31.799999,31.17,31.690001
"2016-03-17",31.76,32.169998,31.700001,31.98
"2016-03-18",32.16,32.689999,32.060001,32.68
"2016-03-21",32.23,32.419998,31.950001,32.34
"2016-03-22",32.16,32.459999,31.950001,32.32
"2016-03-23",32.470001,32.470001,31.98,32
"2016-03-24",31.870001,31.950001,31.700001,31.879999
"2016-03-28",31.870001,32,31.620001,31.9
"2016-03-29",31.93,32.439999,31.73,32.380001
"2016-03-30",32.450001,32.75,32.290001,32.709999
"2016-03-31",32.529999,32.66,32.32,32.349998
"2016-04-01",32.27,32.470001,32.099998,32.450001
"2016-04-04",32.200001,32.380001,31.74,32
"2016-04-05",31.889999,32.119999,31.719999,31.9
"2016-04-06",31.969999,32.23,31.77,32.080002
"2016-04-07",31.889999,31.9,31.35,31.549999
"2016-04-08",31.76,32.02,31.48,31.629999
"2016-04-11",31.9,32.34,31.66,31.67
"2016-04-12",31.879999,31.940001,31.379999,31.860001
"2016-04-13",31.969999,32.18,31.950001,32.130001
"2016-04-14",31.780001,31.889999,31.549999,31.799999
"2016-04-15",31.790001,31.889999,31.379999,31.459999
"2016-04-18",31.43,31.719999,31.379999,31.65
"2016-04-19",31.700001,31.809999,31.4,31.6
"2016-04-20",31.32,32.259998,31.25,32
"2016-04-21",31.940001,32.060001,31.809999,31.969999
"2016-04-22",31.74,31.860001,31.219999,31.639999
"2016-04-25",31.360001,31.5,31.200001,31.389999
"2016-04-26",31.389999,31.700001,31.17,31.4
"2016-04-27",31.25,31.799999,31.190001,31.75
"2016-04-28",31.450001,31.709999,31.030001,31.110001
"2016-04-29",30.860001,30.870001,30.1,30.280001
"2016-05-02",30.450001,30.690001,30.360001,30.610001
"2016-05-03",30.41,30.559999,30.09,30.360001
"2016-05-04",30.17,30.209999,29.700001,29.85
