"","Open","High","Low","Close"
"2016-01-04",42.34,42.5,41.970001,42.400002
"2016-01-05",42.310001,42.630001,42.169998,42.549999
"2016-01-06",42.200001,42.509998,42.040001,42.32
"2016-01-07",41.650002,42.110001,41.450001,41.619999
"2016-01-08",41.650002,42.119999,41.41,41.509998
"2016-01-11",41.580002,41.860001,41.290001,41.580002
"2016-01-12",42.299999,42.450001,41.869999,42.119999
"2016-01-13",42.169998,42.57,41.790001,41.849998
"2016-01-14",41.990002,42.169998,41.639999,41.880001
"2016-01-15",40.950001,41.59,40.93,41.5
"2016-01-19",41.77,42.119999,41.650002,41.919998
"2016-01-20",41.450001,41.619999,40.75,41.380001
"2016-01-21",41.450001,41.509998,41.09,41.389999
"2016-01-22",41.639999,42.240002,41.450001,42.060001
"2016-01-25",42.240002,42.5,41.93,42.16
"2016-01-26",42.16,42.5,41.93,42.080002
"2016-01-27",42.18,42.459999,41.810001,42.09
"2016-01-28",42.18,42.720001,42.060001,42.57
"2016-01-29",42.860001,43.259998,42.650002,42.919998
"2016-02-01",42.599998,43.150002,42.57,43
"2016-02-02",42.700001,42.790001,42.41,42.439999
"2016-02-03",42.799999,42.939999,42.279999,42.720001
"2016-02-04",42.52,42.889999,42.400002,42.529999
"2016-02-05",42.93,42.990002,42.259998,42.439999
"2016-02-08",42.169998,42.700001,41.900002,42.650002
"2016-02-09",42.259998,43.490002,42.259998,43.299999
"2016-02-10",43.34,43.389999,42.509998,42.549999
"2016-02-11",42.029999,42.610001,41.98,42.41
"2016-02-12",42.720001,43.139999,42.560001,43.110001
"2016-02-16",43.32,43.459999,43.02,43.360001
"2016-02-17",43.419998,43.619999,43.279999,43.490002
"2016-02-18",43.630001,43.73,43.299999,43.610001
"2016-02-19",43.580002,43.77,43.279999,43.77
"2016-02-22",43.77,44.16,43.630001,43.939999
"2016-02-23",43.740002,44.049999,43.66,43.689999
"2016-02-24",43.560001,43.939999,43.369999,43.91
"2016-02-25",43.959999,44.18,43.869999,44.16
"2016-02-26",44.040001,44.060001,43.110001,43.139999
"2016-02-29",43.169998,43.610001,42.919998,43.130001
"2016-03-01",43.380001,43.689999,43.169998,43.689999
"2016-03-02",43.470001,43.77,43.419998,43.77
"2016-03-03",43.610001,43.98,43.540001,43.959999
"2016-03-04",43.779999,44.150002,43.68,44.110001
"2016-03-07",43.91,44.139999,43.860001,44.009998
"2016-03-08",43.919998,44.470001,43.810001,44.32
"2016-03-09",44.389999,44.830002,44.290001,44.810001
"2016-03-10",44.84,45.259998,44.68,45.23
"2016-03-11",45,45.25,44.93,45.200001
"2016-03-14",45.040001,45.419998,45.040001,45.290001
"2016-03-15",45.080002,45.560001,45.07,45.240002
"2016-03-16",45.049999,45.169998,44.549999,45.049999
"2016-03-17",45.049999,45.91,44.970001,45.77
"2016-03-18",45.84,45.869999,45.389999,45.599998
"2016-03-21",45.419998,45.869999,45.360001,45.669998
"2016-03-22",45.549999,45.73,45.389999,45.5
"2016-03-23",45.400002,45.709999,45.349998,45.459999
"2016-03-24",45.450001,45.599998,45.189999,45.580002
"2016-03-28",45.560001,45.93,45.509998,45.799999
"2016-03-29",45.860001,46.509998,45.810001,46.48
"2016-03-30",46.630001,46.73,46.330002,46.580002
"2016-03-31",46.549999,46.880001,46.32,46.389999
"2016-04-01",46.139999,46.869999,46.110001,46.830002
"2016-04-04",46.84,46.93,46.5,46.889999
"2016-04-05",46.619999,46.810001,46.439999,46.529999
"2016-04-06",46.57,46.73,46.380001,46.709999
"2016-04-07",46.5,46.580002,46.16,46.360001
"2016-04-08",46.439999,46.98,46.439999,46.869999
"2016-04-11",46.900002,47.130001,46.41,46.439999
"2016-04-12",46.41,46.759998,46.349998,46.650002
"2016-04-13",46.77,46.779999,45.82,46.040001
"2016-04-14",46.060001,46.220001,45.75,45.830002
"2016-04-15",45.82,46.16,45.68,46.099998
"2016-04-18",46.099998,46.279999,45.82,46.220001
"2016-04-19",46.310001,46.619999,46.150002,46.599998
"2016-04-20",45.34,45.380001,44.060001,44.369999
"2016-04-21",44.259998,44.279999,42.869999,43.66
"2016-04-22",43.790001,44.66,43.790001,44.540001
"2016-04-25",44.5,44.720001,44.380001,44.709999
"2016-04-26",44.919998,44.959999,44.43,44.529999
"2016-04-27",44.639999,44.860001,44.25,44.68
"2016-04-28",44.5,44.900002,44.459999,44.630001
"2016-04-29",44.529999,44.860001,44.5,44.799999
"2016-05-02",44.57,45.189999,44.57,44.98
"2016-05-03",44.869999,45.07,44.650002,44.84
"2016-05-04",44.720001,45.110001,44.509998,44.98
