"","Open","High","Low","Close"
"2016-01-04",148.050003,148.320007,145.399994,146.820007
"2016-01-05",146.820007,147.5,145.610001,147.460007
"2016-01-06",145.589996,145.759995,143.419998,144.490005
"2016-01-07",142.520004,143.130005,140.630005,140.970001
"2016-01-08",141.360001,142.5,140.220001,140.490005
"2016-01-11",140.970001,141.429993,139.410004,140.460007
"2016-01-12",141.360001,142.149994,139.130005,140.860001
"2016-01-13",140.889999,142.190002,138.539993,138.720001
"2016-01-14",139.740005,142.440002,138.860001,141.179993
"2016-01-15",138.300003,140.100006,137.210007,138.690002
"2016-01-19",140.100006,140.800003,137.410004,138.389999
"2016-01-20",136.949997,137.75,134.639999,136.960007
"2016-01-21",136.960007,138.669998,136.149994,137.759995
"2016-01-22",140.139999,140.429993,138.080002,139.520004
"2016-01-25",138.960007,139.369995,137.529999,137.570007
"2016-01-26",141.789993,145.020004,140.330002,144.779999
"2016-01-27",144.949997,147.970001,144.050003,145.550003
"2016-01-28",146.160004,147.839996,145.220001,147.320007
"2016-01-29",148.240005,151,148,151
"2016-02-01",149.330002,149.789993,148.100006,148.729996
"2016-02-02",147.589996,148.279999,146.050003,147.869995
"2016-02-03",149.360001,152.850006,148.960007,152.520004
"2016-02-04",152.419998,154.380005,151.779999,153.440002
"2016-02-05",153.199997,153.880005,151.820007,153.470001
"2016-02-08",151.630005,154.429993,151.009995,153.899994
"2016-02-09",152.949997,155.759995,152.449997,154.740005
"2016-02-10",154.429993,155.490005,152.119995,152.449997
"2016-02-11",149.910004,152,149,150.669998
"2016-02-12",150.669998,154.070007,150.669998,153.960007
"2016-02-16",155,155.899994,154.259995,155.529999
"2016-02-17",156,157.130005,155.600006,156.619995
"2016-02-18",156.350006,156.970001,155.970001,156.779999
"2016-02-19",157,157.089996,155.869995,156.449997
"2016-02-22",156.449997,158.479996,156.449997,157.699997
"2016-02-23",157.630005,157.690002,155.169998,156.169998
"2016-02-24",154.839996,157.619995,153.639999,157.220001
"2016-02-25",157.539993,159,157.009995,158.990005
"2016-02-26",159.149994,159.5,158.080002,158.270004
"2016-02-29",158.009995,159.119995,156.820007,156.869995
"2016-03-01",158.75,159.699997,157.610001,159.589996
"2016-03-02",158.880005,159.880005,158.539993,159.410004
"2016-03-03",159.410004,159.690002,158.509995,159.380005
"2016-03-04",159.460007,160.289993,158.919998,160.070007
"2016-03-07",159.979996,160.570007,158.169998,160.570007
"2016-03-08",159.399994,160.610001,159.350006,160.199997
"2016-03-09",160.5,160.779999,159.520004,160.089996
"2016-03-10",160.770004,160.800003,158.279999,159.889999
"2016-03-11",161.139999,162.050003,160.649994,161.880005
"2016-03-14",161.610001,162.770004,161,161.809998
"2016-03-15",160.160004,162.5,159.350006,162.410004
"2016-03-16",161.960007,163.300003,161.520004,162.889999
"2016-03-17",163.160004,164.360001,162.839996,163.75
"2016-03-18",164.149994,165.330002,163.899994,165.330002
"2016-03-21",165.050003,165.309998,164.410004,164.839996
"2016-03-22",164.5,165.5,164.389999,164.910004
"2016-03-23",164.600006,164.990005,163.460007,164.270004
"2016-03-24",163.679993,164.539993,163.050003,164.460007
"2016-03-28",164.929993,166.649994,164.580002,166.279999
"2016-03-29",164.929993,164.990005,163.119995,164.389999
"2016-03-30",165.369995,167.220001,165.160004,166.75
"2016-03-31",166.75,167.5,166.5,166.630005
"2016-04-01",165.630005,167.740005,164.789993,167.529999
"2016-04-04",167.110001,167.490005,165.919998,166.399994
"2016-04-05",165.179993,166.550003,164.649994,165.809998
"2016-04-06",165.339996,167.080002,164.839996,166.809998
"2016-04-07",165.880005,167.229996,165.25,167.160004
"2016-04-08",167.710007,167.990005,166.100006,166.630005
"2016-04-11",167.119995,167.960007,166.570007,166.589996
"2016-04-12",167.009995,168.399994,166.929993,168.029999
"2016-04-13",168.470001,168.899994,167.710007,168.589996
"2016-04-14",169,169,167.880005,168.160004
"2016-04-15",168.320007,169,168.199997,168.779999
"2016-04-18",168.470001,169.869995,168.389999,169.550003
"2016-04-19",169.919998,170.770004,169.070007,169.649994
"2016-04-20",170.139999,170.449997,168.619995,168.940002
"2016-04-21",168.970001,169.699997,168.410004,168.660004
"2016-04-22",169.089996,169.759995,167.850006,168.660004
"2016-04-25",168,168.509995,166.639999,168.380005
"2016-04-26",167.5,167.789993,164.970001,166.179993
"2016-04-27",166.990005,168.380005,166.100006,167.759995
"2016-04-28",166.850006,168.770004,166.199997,167
"2016-04-29",166.979996,167.779999,166.5,167.380005
"2016-05-02",167.300003,168.5,166.940002,168.339996
"2016-05-03",167.389999,168.070007,166.660004,167.970001
"2016-05-04",166.369995,167.699997,166.289993,167.160004
