"","Open","High","Low","Close"
"2016-01-04",61.110001,61.91,60.860001,61.52
"2016-01-05",61.720001,62.59,61.720001,62.380001
"2016-01-06",61.299999,62.040001,61.150002,61.490002
"2016-01-07",60.389999,61.259998,59.779999,59.849998
"2016-01-08",60.060001,60.790001,58.66,58.869999
"2016-01-11",58.970001,60.040001,58.540001,59.549999
"2016-01-12",60.349998,60.82,59.57,59.939999
"2016-01-13",60.529999,60.529999,58.669998,58.779999
"2016-01-14",59,59.349998,57.279999,58.509998
"2016-01-15",56.93,58.139999,56.59,57.560001
"2016-01-19",58.189999,59.07,57.669998,58.32
"2016-01-20",57.25,59.59,56.75,59.040001
"2016-01-21",59.080002,61.16,59.060001,60.560001
"2016-01-22",61.290001,61.470001,60.59,60.880001
"2016-01-25",61.09,61.299999,60.619999,60.700001
"2016-01-26",60.490002,61.369999,60.27,61.110001
"2016-01-27",60.959999,61.099998,59.200001,59.580002
"2016-01-28",60.32,61.599998,59.98,61.200001
"2016-01-29",61.200001,62.16,61.200001,62.009998
"2016-02-01",61.75,63.470001,61.700001,63.16
"2016-02-02",63.02,63.5,62.310001,62.549999
"2016-02-03",62.880001,62.900002,61.299999,62.490002
"2016-02-04",62.02,62.16,59.990002,60.169998
"2016-02-05",59.759998,59.84,56.98,57.169998
"2016-02-08",56.099998,56.209999,53.639999,55.040001
"2016-02-09",54.5,56.619999,54.279999,55.68
"2016-02-10",56.540001,58.18,55.93,57.41
"2016-02-11",56.459999,56.91,55.389999,56
"2016-02-12",57.369999,57.450001,55.5,56.419998
"2016-02-16",57.57,58,56.82,57.790001
"2016-02-17",58.599998,58.599998,57.099998,58.169998
"2016-02-18",58.169998,58.959999,57.98,58.599998
"2016-02-19",58.5,59.310001,57.630001,59.310001
"2016-02-22",59.310001,60.48,59.259998,60.169998
"2016-02-23",60.259998,60.740002,59.889999,60.209999
"2016-02-24",59.740002,60.700001,59.200001,60.400002
"2016-02-25",60.68,62.380001,60.630001,62.380001
"2016-02-26",62.639999,63.490002,62.470001,62.599998
"2016-02-29",62.459999,62.68,61.580002,61.59
"2016-03-01",61.970001,63.099998,61.75,62.919998
"2016-03-02",62.52,62.889999,61.5,62.220001
"2016-03-03",62.049999,62.200001,60.919998,61.470001
"2016-03-04",61.419998,61.540001,60.380001,61.259998
"2016-03-07",61.07,61.139999,58.790001,59.25
"2016-03-08",59.029999,60.599998,58.709999,59.810001
"2016-03-09",59.580002,59.619999,57.950001,58.330002
"2016-03-10",58.700001,59.040001,57.970001,58.880001
"2016-03-11",59.130001,60.439999,59.130001,60.080002
"2016-03-14",60.189999,61.330002,60.099998,60.810001
"2016-03-15",60.5,61.75,60.360001,61.400002
"2016-03-16",61.470001,62.23,61.290001,61.860001
"2016-03-17",61.759998,63.380001,61.740002,63.18
"2016-03-18",63.549999,63.98,62.849998,62.990002
"2016-03-21",63.549999,65.290001,63.400002,64.720001
"2016-03-22",64.830002,65.440002,64.169998,64.900002
"2016-03-23",61.330002,63.450001,61.150002,62.439999
"2016-03-24",62.060001,62.139999,61.119999,61.650002
"2016-03-28",61.580002,61.98,61.25,61.34
"2016-03-29",61.259998,61.900002,61.25,61.490002
"2016-03-30",61.77,62.41,61.77,62.040001
"2016-03-31",61.990002,62.639999,61.310001,61.470001
"2016-04-01",61.220001,61.82,61.150002,61.59
"2016-04-04",61.73,61.849998,59.419998,59.970001
"2016-04-05",59.619999,60.169998,59.439999,59.669998
"2016-04-06",59.599998,60.68,59.189999,60.310001
"2016-04-07",59.790001,60.580002,59.709999,60.299999
"2016-04-08",60.490002,60.560001,59.32,59.419998
"2016-04-11",59.73,59.779999,57.82,57.919998
"2016-04-12",58,58.619999,56.889999,58.549999
"2016-04-13",59.02,59.950001,58.830002,59.580002
"2016-04-14",59.709999,60.34,59.439999,59.490002
"2016-04-15",59.02,59.59,58.389999,59.5
"2016-04-18",59.380001,60,59.380001,59.57
"2016-04-19",59.959999,59.990002,59.330002,59.560001
"2016-04-20",59.43,60.240002,59.43,59.619999
"2016-04-21",60.529999,60.529999,59.709999,60.080002
"2016-04-22",60.18,60.220001,58.970001,59.43
"2016-04-25",59.34,59.419998,58.759998,59.209999
"2016-04-26",59.310001,59.970001,59.27,59.540001
"2016-04-27",59.630001,59.73,58.630001,59.27
"2016-04-28",58.950001,59.889999,58.419998,58.540001
"2016-04-29",58.41,59.09,58.099998,58.939999
"2016-05-02",59.09,59.75,58.990002,59.59
"2016-05-03",59.240002,59.849998,59.029999,59.52
"2016-05-04",59.23,59.959999,58.82,59.110001
