"","Open","High","Low","Close"
"2016-01-04",31.85,32.029999,31.57,31.950001
"2016-01-05",32.18,32.240002,31.93,32.18
"2016-01-06",31.73,31.9,31.42,31.610001
"2016-01-07",31.16,31.809999,31.139999,31.4
"2016-01-08",31.549999,31.629999,30.92,31
"2016-01-11",31.15,31.200001,30.639999,31.07
"2016-01-12",31.379999,31.5,30.719999,31
"2016-01-13",31.09,31.280001,30.27,30.370001
"2016-01-14",30.389999,31.42,30.389999,31.110001
"2016-01-15",30.219999,30.82,30.200001,30.809999
"2016-01-19",31.120001,31.23,30.33,30.690001
"2016-01-20",30.209999,31.07,30.059999,30.66
"2016-01-21",30.610001,30.9,30.51,30.58
"2016-01-22",31,31.25,30.67,30.709999
"2016-01-25",30.83,30.91,30.42,30.5
"2016-01-26",30.530001,30.75,30.34,30.67
"2016-01-27",30.709999,31.01,30.32,30.52
"2016-01-28",30.700001,30.709999,29.59,30.200001
"2016-01-29",30.379999,30.49,29.92,30.49
"2016-02-01",30.34,30.4,29.809999,30.17
"2016-02-02",30.17,30.34,29.549999,30.139999
"2016-02-03",29.91,30.07,29.139999,29.67
"2016-02-04",29.49,29.59,28.74,29
"2016-02-05",29.02,29.42,28.84,29.030001
"2016-02-08",28.68,28.98,28.25,28.559999
"2016-02-09",28.469999,29.200001,28.34,29.1
"2016-02-10",29.33,29.9,29.309999,29.49
"2016-02-11",29.01,29.34,28.889999,29.129999
"2016-02-12",29.25,29.379999,28.98,29.360001
"2016-02-16",29.549999,29.84,29.450001,29.809999
"2016-02-17",30,30.07,29.59,29.629999
"2016-02-18",29.82,30.040001,29.459999,29.549999
"2016-02-19",29.6,29.65,29.18,29.49
"2016-02-22",29.75,30.07,29.65,30.049999
"2016-02-23",30.059999,30.379999,29.950001,29.959999
"2016-02-24",29.809999,30.08,29.52,30.02
"2016-02-25",30.1,30.690001,30.02,30.59
"2016-02-26",30.780001,30.9,30.02,30.23
"2016-02-29",30.09,30.18,29.57,29.67
"2016-03-01",29.790001,30.09,29.620001,30.040001
"2016-03-02",30.110001,30.16,29.75,29.98
"2016-03-03",29.879999,30,29.58,29.889999
"2016-03-04",29.85,29.940001,29.530001,29.709999
"2016-03-07",29.549999,29.809999,29.32,29.790001
"2016-03-08",29.75,29.75,29.360001,29.360001
"2016-03-09",29.719999,29.85,29.42,29.74
"2016-03-10",29.9,29.92,29.530001,29.59
"2016-03-11",29.780001,30.5,29.73,30.5
"2016-03-14",30.27,30.34,29.950001,30.1
"2016-03-15",29.879999,29.93,29.299999,29.540001
"2016-03-16",29.52,29.52,28.870001,29.040001
"2016-03-17",29.120001,29.58,28.74,29.34
"2016-03-18",29.5,29.65,29.17,29.450001
"2016-03-21",29.450001,30.120001,29.440001,30.07
"2016-03-22",30.030001,30.559999,29.889999,30.379999
"2016-03-23",30.43,30.610001,30.1,30.190001
"2016-03-24",30.120001,30.280001,29.879999,30.08
"2016-03-28",30.09,30.219999,29.74,29.780001
"2016-03-29",29.82,30.190001,29.709999,30.049999
"2016-03-30",30.15,30.209999,30.01,30.07
"2016-03-31",30.059999,30.17,29.51,29.639999
"2016-04-01",29.440001,30.17,29.41,30.040001
"2016-04-04",30.09,30.75,30.059999,30.719999
"2016-04-05",31.209999,31.75,30.58,31.360001
"2016-04-06",31.540001,33,31.530001,32.93
"2016-04-07",32.549999,33.080002,32.5,32.759998
"2016-04-08",32.830002,32.900002,32.279999,32.5
"2016-04-11",32.52,32.57,31.870001,31.889999
"2016-04-12",31.9,32.139999,31.799999,31.959999
"2016-04-13",31.959999,32.610001,31.959999,32.540001
"2016-04-14",32.48,32.779999,32.330002,32.650002
"2016-04-15",32.650002,32.779999,32.299999,32.5
"2016-04-18",32.5,32.860001,32.290001,32.610001
"2016-04-19",32.799999,33.200001,32.740002,32.889999
"2016-04-20",32.849998,33.400002,32.849998,33.23
"2016-04-21",33.060001,33.48,33.040001,33.240002
"2016-04-22",33.25,33.5,33.07,33.27
"2016-04-25",33.130001,33.27,33,33.209999
"2016-04-26",33.200001,33.330002,32.919998,33.049999
"2016-04-27",32.98,33.209999,32.900002,33
"2016-04-28",32.970001,33.18,32.75,32.91
"2016-04-29",32.869999,32.950001,32.43,32.709999
"2016-05-02",32.560001,33,32.5,32.799999
"2016-05-03",33.650002,33.970001,33.25,33.700001
"2016-05-04",33.669998,33.900002,33.330002,33.400002
