"","Open","High","Low","Close"
"2016-01-04",78.360001,78.5,77.540001,78.370003
"2016-01-05",78.440002,78.959999,78.209999,78.620003
"2016-01-06",77.669998,78.290001,77.120003,77.860001
"2016-01-07",76.849998,77.599998,76.07,77.18
"2016-01-08",77.360001,77.480003,75.669998,75.970001
"2016-01-11",76.169998,77.040001,75.599998,76.669998
"2016-01-12",77,77.019997,75.75,76.510002
"2016-01-13",76.970001,76.989998,75.790001,75.849998
"2016-01-14",76.099998,76.949997,75.879997,76.150002
"2016-01-15",74.5,75.68,74.470001,74.980003
"2016-01-19",75.800003,76.910004,75.720001,76.730003
"2016-01-20",75.290001,76.089996,74.459999,75.830002
"2016-01-21",76.019997,77.18,75.410004,76.720001
"2016-01-22",77.400002,77.970001,76.550003,77.360001
"2016-01-25",77.199997,77.360001,76.559998,76.849998
"2016-01-26",78,79.580002,77.540001,78.809998
"2016-01-27",78.529999,79.849998,78.150002,78.800003
"2016-01-28",79.400002,80,78.610001,79.82
"2016-01-29",79.980003,82,79.830002,81.690002
"2016-02-01",81.209999,81.400002,80.529999,81.120003
"2016-02-02",80.089996,80.540001,79.809998,80.220001
"2016-02-03",80.480003,81.239998,80.019997,81.099998
"2016-02-04",80.849998,81.099998,80.330002,80.699997
"2016-02-05",80.580002,81.199997,80.57,81.199997
"2016-02-08",80.290001,82.720001,80.290001,82.620003
"2016-02-09",81.830002,83,81.019997,82.639999
"2016-02-10",82.910004,83,81.459999,81.620003
"2016-02-11",80.389999,80.989998,79.629997,79.900002
"2016-02-12",80.360001,81.019997,79.790001,80.989998
"2016-02-16",81.989998,81.989998,80.839996,81.470001
"2016-02-17",81.650002,82.830002,81.510002,82.449997
"2016-02-18",82.230003,82.32,81.209999,81.980003
"2016-02-19",81.959999,82.260002,81.400002,81.790001
"2016-02-22",81.790001,82.669998,81.709999,82.129997
"2016-02-23",82,82.459999,81.610001,81.809998
"2016-02-24",81.260002,81.639999,80.660004,81.559998
"2016-02-25",81.699997,82.339996,81.470001,82.339996
"2016-02-26",82.519997,82.650002,80.949997,81.099998
"2016-02-29",81.099998,81.349998,80.209999,80.290001
"2016-03-01",80.540001,81.360001,80.529999,81.230003
"2016-03-02",81.580002,82.660004,80.849998,82.550003
"2016-03-03",82.540001,82.93,82.18,82.839996
"2016-03-04",82.620003,83.739998,82.260002,83.489998
"2016-03-07",83.18,83.699997,83,83.099998
"2016-03-08",82.970001,83.75,82.669998,83.059998
"2016-03-09",83.300003,83.690002,82.68,82.959999
"2016-03-10",83.129997,83.230003,81.75,82.279999
"2016-03-11",82.75,82.800003,81.440002,81.75
"2016-03-14",81.57,81.849998,80.68,81.169998
"2016-03-15",81,81.459999,80.760002,81.309998
"2016-03-16",81.309998,81.800003,80.480003,81.339996
"2016-03-17",81.290001,83.230003,81.279999,82.75
"2016-03-18",82.860001,83.5,82.440002,83.150002
"2016-03-21",83.120003,83.870003,82.910004,83.32
"2016-03-22",83.279999,83.32,82.489998,82.739998
"2016-03-23",82.720001,83.489998,82.580002,82.82
"2016-03-24",82.459999,83.120003,82.43,82.889999
"2016-03-28",82.989998,83.449997,82.519997,82.620003
"2016-03-29",82.660004,83.089996,82.160004,82.800003
"2016-03-30",83.089996,83.360001,82.650002,82.68
"2016-03-31",82.75,83,82.150002,82.309998
"2016-04-01",82,83.620003,81.93,83.529999
"2016-04-04",83.650002,83.650002,83.029999,83.209999
"2016-04-05",83.160004,83.559998,82.989998,83.160004
"2016-04-06",83.139999,83.839996,83.080002,83.809998
"2016-04-07",83.239998,83.68,82.870003,83.239998
"2016-04-08",83.440002,83.449997,82.769997,83.199997
"2016-04-11",83.029999,83.339996,82.660004,82.730003
"2016-04-12",82.709999,83.209999,82.449997,82.830002
"2016-04-13",83.050003,83.43,81.839996,82.459999
"2016-04-14",81.949997,82.370003,81.540001,82.010002
"2016-04-15",82.050003,82.43,81.849998,82.300003
"2016-04-18",82.300003,82.989998,82.019997,82.830002
"2016-04-19",82.910004,83.699997,82.849998,83.279999
"2016-04-20",83.290001,83.339996,81.480003,81.550003
"2016-04-21",81.040001,81.309998,80.550003,80.800003
"2016-04-22",80.400002,80.949997,79.910004,80.949997
"2016-04-25",80.919998,81.480003,80.419998,81.410004
"2016-04-26",81.5,81.5,79.209999,79.550003
"2016-04-27",79.470001,80.150002,79.099998,79.889999
"2016-04-28",79.480003,80.269997,79.389999,79.760002
"2016-04-29",79.669998,80.150002,79.370003,80.120003
"2016-05-02",80.019997,81.300003,80.019997,80.970001
"2016-05-03",80.800003,81.699997,80.690002,81.099998
"2016-05-04",80.870003,81.769997,80.870003,81.599998
