"","Open","High","Low","Close"
"2016-01-04",116.910004,116.910004,114.529999,116.459999
"2016-01-05",116.720001,117.889999,116.209999,116.68
"2016-01-06",115.779999,116.650002,114.5,115.489998
"2016-01-07",113.629997,114.089996,111.419998,112.089996
"2016-01-08",112.349998,113,109.760002,110.160004
"2016-01-11",110.510002,110.620003,108.190002,109.580002
"2016-01-12",110.360001,113.129997,110.050003,112.260002
"2016-01-13",112.410004,113.040001,108.93,109.230003
"2016-01-14",108.739998,111.800003,107.510002,110.760002
"2016-01-15",109.080002,110.650002,107.790001,109.269997
"2016-01-19",111.489998,114.160004,109.599998,112.580002
"2016-01-20",112.089996,115.739998,110.150002,114.790001
"2016-01-21",114.669998,115.480003,112.260002,113.5
"2016-01-22",114.669998,115.150002,113.889999,114.330002
"2016-01-25",114.519997,115.309998,112.849998,113.379997
"2016-01-26",112.910004,114.18,111.760002,113.959999
"2016-01-27",114.43,114.809998,111.839996,112.330002
"2016-01-28",112.290001,113.25,110.610001,111.379997
"2016-01-29",111.93,115.160004,110.620003,115.160004
"2016-02-01",114.830002,116.150002,114.110001,115.889999
"2016-02-02",114.949997,115.389999,113.269997,113.879997
"2016-02-03",114.370003,114.370003,110.300003,112.75
"2016-02-04",112.669998,114.550003,112.040001,114.199997
"2016-02-05",114.07,114.209999,110.900002,111.720001
"2016-02-08",110.5,111.120003,108.830002,110.019997
"2016-02-09",109.370003,112.279999,109.139999,111.160004
"2016-02-10",111.330002,114.480003,111.330002,112.739998
"2016-02-11",111.32,111.690002,110.089996,110.620003
"2016-02-12",111.199997,111.910004,110.209999,111.82
"2016-02-16",112.629997,115.269997,112.529999,115.150002
"2016-02-17",115.5,118.389999,115.199997,118.300003
"2016-02-18",118.5,120,117.059998,117.449997
"2016-02-19",117.5,118.550003,116.019997,117.68
"2016-02-22",119.099998,122.139999,118.959999,121.269997
"2016-02-23",120.639999,121.800003,120.269997,121.150002
"2016-02-24",119.93,120.32,117.830002,120.199997
"2016-02-25",120.199997,121.230003,119.82,121.199997
"2016-02-26",121.480003,122.260002,120.889999,121.330002
"2016-02-29",121.099998,121.82,118.970001,119.099998
"2016-03-01",119.489998,122.220001,119.370003,121.669998
"2016-03-02",121.230003,121.839996,120.370003,121.269997
"2016-03-03",120.860001,121.860001,120.089996,121.82
"2016-03-04",121.32,122.190002,120.739998,121.800003
"2016-03-07",121.080002,122.739998,120.900002,121.760002
"2016-03-08",121.279999,122.32,120.730003,121.660004
"2016-03-09",121.879997,122.120003,120.449997,121.099998
"2016-03-10",121.199997,122.760002,120.410004,122.089996
"2016-03-11",122.470001,125.32,122.25,125.099998
"2016-03-14",124.800003,126.019997,124.360001,125.220001
"2016-03-15",124.540001,125.470001,124.080002,124.849998
"2016-03-16",124.389999,125.550003,124.099998,124.900002
"2016-03-17",124.610001,124.959999,122.220001,124.529999
"2016-03-18",124.860001,127.080002,124.529999,126.720001
"2016-03-21",126.239998,127,125.68,126.739998
"2016-03-22",126.650002,128.820007,126.019997,128.020004
"2016-03-23",128.149994,130.350006,128.020004,129.789993
"2016-03-24",128.970001,130.320007,127.169998,128.589996
"2016-03-28",128.820007,129.5,128.009995,128.919998
"2016-03-29",129.270004,130.089996,128.539993,129.830002
"2016-03-30",130.089996,131.100006,129.389999,129.679993
"2016-03-31",129.639999,129.970001,128.289993,128.899994
"2016-04-01",128.690002,130.440002,128.360001,129.919998
"2016-04-04",130.5,130.699997,128.880005,129.490005
"2016-04-05",128.949997,129.460007,126.900002,127.040001
"2016-04-06",127.230003,128.419998,126.879997,128.029999
"2016-04-07",127.510002,128.440002,126.230003,126.870003
"2016-04-08",127.190002,128.149994,125.260002,125.68
"2016-04-11",125.830002,126.940002,125.830002,126.330002
"2016-04-12",126.300003,127.360001,125.400002,126.800003
"2016-04-13",127.650002,128.660004,127.269997,127.760002
"2016-04-14",127.720001,128.570007,127.559998,127.980003
"2016-04-15",127.889999,128.059998,126.220001,127.330002
"2016-04-18",126.879997,128.029999,126.599998,127.809998
"2016-04-19",130.089996,131.300003,129.119995,130.5
"2016-04-20",131.289993,135.110001,130.899994,133.929993
"2016-04-21",133.559998,134,132.429993,132.960007
"2016-04-22",133.720001,134.330002,133.050003,134.130005
"2016-04-25",133.710007,134.070007,132.589996,133.779999
"2016-04-26",133.970001,134.610001,133,134.240005
"2016-04-27",134.339996,134.580002,131.899994,132.800003
"2016-04-28",132.789993,134.389999,131.690002,132.070007
"2016-04-29",131.059998,131.880005,128.929993,131.679993
"2016-05-02",132.610001,132.929993,130.919998,132.100006
"2016-05-03",131.369995,133.229996,131.130005,132.460007
"2016-05-04",131.020004,132.410004,130.589996,132.029999
