"","Open","High","Low","Close"
"2016-01-04",94.449997,95.639999,93.959999,95.57
"2016-01-05",95.139999,96,94.800003,95.720001
"2016-01-06",93.900002,94.639999,92.540001,93.120003
"2016-01-07",91.470001,93.349998,91.43,91.900002
"2016-01-08",91.57,91.879997,90.220001,90.400002
"2016-01-11",91.089996,91.400002,89.919998,90.5
"2016-01-12",90.989998,91.150002,89.669998,90.5
"2016-01-13",90.669998,90.669998,88.410004,88.830002
"2016-01-14",89.080002,89.580002,87.860001,89.010002
"2016-01-15",86.989998,88.059998,85.470001,85.629997
"2016-01-19",86.349998,86.349998,84.470001,85.239998
"2016-01-20",84.440002,85.580002,83.389999,84.830002
"2016-01-21",84.830002,86.790001,84.540001,85.57
"2016-01-22",86.949997,87.379997,85.879997,86.349998
"2016-01-25",85.980003,86.150002,84.690002,84.900002
"2016-01-26",85.290001,86.470001,85.209999,85.650002
"2016-01-27",85.699997,87.57,84.75,85.809998
"2016-01-28",86.300003,87.199997,85.919998,86.449997
"2016-01-29",86.870003,87.690002,86.760002,87.690002
"2016-02-01",87.059998,87.839996,86.449997,87.559998
"2016-02-02",86.169998,86.730003,85.080002,85.419998
"2016-02-03",85.989998,86.370003,84.290001,85.959999
"2016-02-04",86.089996,88.709999,86.029999,88.120003
"2016-02-05",88.040001,88.510002,87.440002,87.839996
"2016-02-08",87.339996,87.400002,85.82,86.779999
"2016-02-09",86.260002,87.769997,85.93,87.239998
"2016-02-10",87.360001,88.449997,86.739998,86.959999
"2016-02-11",85.389999,86.550003,83.849998,84.660004
"2016-02-12",84.989998,86.129997,84.900002,85.949997
"2016-02-16",87.339996,87.5,85.559998,86.480003
"2016-02-17",86.709999,88.489998,86.639999,88.120003
"2016-02-18",88.550003,89.040001,88.160004,88.360001
"2016-02-19",88.349998,88.989998,87.419998,88.230003
"2016-02-22",89.190002,94.910004,88.870003,92.370003
"2016-02-23",92.230003,92.43,90.489998,91.599998
"2016-02-24",91.110001,94.150002,91.110001,93.610001
"2016-02-25",93.910004,98.730003,93.68,98.07
"2016-02-26",100.209999,100.550003,96.5,97.690002
"2016-02-29",97.43,98.870003,96.510002,96.620003
"2016-03-01",92.220001,95.050003,92.07,95.050003
"2016-03-02",94.760002,96,94.400002,95.529999
"2016-03-03",95.199997,96.150002,95.07,96.110001
"2016-03-04",96.169998,97.300003,95.779999,97
"2016-03-07",96.550003,97.459999,96.050003,96.919998
"2016-03-08",96.139999,97.489998,96.129997,96.900002
"2016-03-09",97.32,97.480003,96.400002,96.599998
"2016-03-10",96.599998,97.120003,95.050003,96.18
"2016-03-11",97.18,97.650002,96.470001,96.75
"2016-03-14",96.300003,97.370003,96.290001,96.830002
"2016-03-15",96.059998,96.699997,95.879997,96.290001
"2016-03-16",96.199997,98,96,97.489998
"2016-03-17",97.82,99.269997,97.389999,98.839996
"2016-03-18",99.209999,100.290001,98.82,99.050003
"2016-03-21",99.080002,99.599998,98.790001,99.169998
"2016-03-22",98.68,99.269997,98.309998,98.660004
"2016-03-23",98.769997,99.470001,98.279999,99.110001
"2016-03-24",98.150002,99.080002,98,99.059998
"2016-03-28",98.959999,99.290001,98.650002,98.910004
"2016-03-29",98.410004,100.32,98.080002,100.120003
"2016-03-30",100.82,101,99.900002,100.25
"2016-03-31",100.080002,100.419998,98.989998,100.099998
"2016-04-01",99.389999,100.459999,98.82,99.970001
"2016-04-04",100.300003,101.18,99.800003,100.269997
"2016-04-05",99.75,100.349998,99.339996,99.860001
"2016-04-06",99.589996,100.540001,98.419998,100.370003
"2016-04-07",99.900002,101.410004,99.669998,100.889999
"2016-04-08",101.440002,102.349998,100.959999,101.32
"2016-04-11",101.580002,102.93,101.110001,102.139999
"2016-04-12",102.290001,103.480003,102.290001,103.080002
"2016-04-13",103.629997,104.75,103.610001,104.610001
"2016-04-14",105,105.43,101.25,104.68
"2016-04-15",104.470001,105.160004,104.209999,104.57
"2016-04-18",104.629997,105.339996,104.029999,105.129997
"2016-04-19",105.599998,106.290001,104.510002,105
"2016-04-20",105.419998,106.110001,105.199997,105.529999
"2016-04-21",105.559998,105.959999,105.25,105.43
"2016-04-22",105.730003,106.309998,104.93,105.699997
"2016-04-25",105.190002,105.199997,104.279999,105.199997
"2016-04-26",105.449997,105.769997,103.620003,104.800003
"2016-04-27",106.32,107.07,104.879997,105.889999
"2016-04-28",105.150002,105.589996,103.690002,104.230003
"2016-04-29",103.529999,104.940002,103.529999,104.370003
"2016-05-02",103.889999,104.900002,103.540001,104.370003
"2016-05-03",103.459999,103.870003,101.870003,102.129997
"2016-05-04",101.389999,101.779999,100.230003,100.669998
