"","Open","High","Low","Close"
"2016-01-04",60.5,61.490002,60.360001,61.459999
"2016-01-05",62.029999,63.049999,61.849998,62.919998
"2016-01-06",62.48,63.950001,62.470001,63.549999
"2016-01-07",62.970001,65.230003,62.919998,65.029999
"2016-01-08",65.080002,65.410004,63.41,63.540001
"2016-01-11",63.759998,64.470001,63.630001,64.220001
"2016-01-12",64.379997,64.730003,63.43,63.619999
"2016-01-13",63.73,63.73,61.830002,61.919998
"2016-01-14",62,63.619999,61.82,63.060001
"2016-01-15",61.549999,62.470001,61.259998,61.93
"2016-01-19",62.25,62.799999,62.009998,62.560001
"2016-01-20",61.799999,62.330002,60.200001,60.84
"2016-01-21",60.98,62.790001,60.91,61.880001
"2016-01-22",62.439999,63.259998,62.130001,62.689999
"2016-01-25",62.779999,63.82,62.549999,63.450001
"2016-01-26",63.360001,64.470001,63.259998,64
"2016-01-27",64.099998,65.18,63.889999,63.950001
"2016-01-28",64.029999,64.510002,63.43,64.220001
"2016-01-29",64.75,66.529999,64.739998,66.360001
"2016-02-01",65.910004,67.93,65.889999,67.5
"2016-02-02",67.300003,67.839996,66.279999,66.860001
"2016-02-03",67.309998,67.5,65.07,66.269997
"2016-02-04",65.760002,66.550003,65.010002,66.419998
"2016-02-05",66.860001,67.529999,65.879997,67
"2016-02-08",66.5,67.150002,65.160004,66.900002
"2016-02-09",65.489998,66.410004,64.68,65.809998
"2016-02-10",66.190002,66.589996,65.650002,65.790001
"2016-02-11",65.019997,65.760002,64.779999,65.32
"2016-02-12",65.519997,66.25,64.870003,66.18
"2016-02-16",66.610001,66.800003,65.5,65.900002
"2016-02-17",66.099998,66.610001,65.809998,66.110001
"2016-02-18",63.740002,64.779999,62.349998,64.120003
"2016-02-19",63.889999,64.769997,63.439999,64.660004
"2016-02-22",64.660004,66.139999,64.660004,65.629997
"2016-02-23",65.839996,66.599998,65.279999,66.480003
"2016-02-24",66.190002,67.330002,65.720001,67.120003
"2016-02-25",67.449997,68.129997,67.330002,68.040001
"2016-02-26",68.080002,68.199997,66.300003,66.510002
"2016-02-29",66.629997,66.949997,66.220001,66.339996
"2016-03-01",66.650002,66.889999,66,66.459999
"2016-03-02",66.209999,66.669998,66,66.209999
"2016-03-03",65.949997,66.199997,64.879997,66.139999
"2016-03-04",66.139999,67.279999,66.089996,66.779999
"2016-03-07",66.620003,68.480003,66.269997,67.889999
"2016-03-08",67.730003,68.470001,67.489998,68.040001
"2016-03-09",67.790001,67.989998,67.120003,67.529999
"2016-03-10",67.550003,68.040001,66.400002,67.410004
"2016-03-11",67.769997,67.940002,66.800003,67.169998
"2016-03-14",67.150002,67.669998,66.959999,67.360001
"2016-03-15",67,68.349998,67,68.089996
"2016-03-16",67.940002,68.339996,67.25,67.989998
"2016-03-17",67.82,68.919998,67.260002,67.449997
"2016-03-18",67.480003,68.029999,66.75,66.949997
"2016-03-21",67.029999,68.379997,66.970001,67.970001
"2016-03-22",68,68.68,67.790001,67.870003
"2016-03-23",68.010002,68.099998,67.440002,67.459999
"2016-03-24",67.43,68.040001,67.379997,68
"2016-03-28",67.93,68.580002,67.93,68.120003
"2016-03-29",68.150002,68.209999,67.43,68.029999
"2016-03-30",68.330002,69,68.290001,68.800003
"2016-03-31",68.75,69.190002,68.470001,68.489998
"2016-04-01",68.019997,69.199997,68.019997,69.059998
"2016-04-04",69,69.370003,68.919998,69.099998
"2016-04-05",69.029999,69.25,68.269997,68.639999
"2016-04-06",68.699997,69.059998,68.519997,69.040001
"2016-04-07",68.830002,68.93,67.940002,68.220001
"2016-04-08",68.309998,68.389999,67.860001,68.059998
"2016-04-11",68.010002,68.370003,67.379997,67.400002
"2016-04-12",67.57,68.870003,67.449997,68.800003
"2016-04-13",69.010002,69.419998,68.870003,69.150002
"2016-04-14",69.150002,69.239998,68.150002,68.800003
"2016-04-15",68.940002,69.410004,68.940002,69.059998
"2016-04-18",69.050003,69.900002,68.849998,69.860001
"2016-04-19",69.790001,70.080002,69.5,69.769997
"2016-04-20",69.760002,69.989998,69.129997,69.209999
"2016-04-21",69.470001,69.68,68.239998,68.470001
"2016-04-22",68.82,68.940002,68.279999,68.720001
"2016-04-25",68.550003,69.5,68.059998,69.470001
"2016-04-26",69.699997,69.889999,69.099998,69.300003
"2016-04-27",69.489998,69.779999,68.989998,69.419998
"2016-04-28",69.07,69.620003,68.75,68.910004
"2016-04-29",68.730003,68.82,66.360001,66.870003
"2016-05-02",66.620003,67.699997,66.529999,67.589996
"2016-05-03",66.860001,67.5,66.75,67
"2016-05-04",66.849998,67.489998,66.440002,67.190002
