"","Open","High","Low","Close"
"2016-01-04",77.5,77.940002,76.459999,77.459999
"2016-01-05",77.190002,78.139999,76.919998,78.120003
"2016-01-06",76.639999,77.639999,76.589996,77.470001
"2016-01-07",76.059998,77.989998,75.900002,76.230003
"2016-01-08",76.349998,76.650002,74.5,74.690002
"2016-01-11",75.010002,75.120003,72.559998,73.690002
"2016-01-12",74.120003,75.419998,73.150002,75.199997
"2016-01-13",75.849998,77.059998,74.940002,75.650002
"2016-01-14",76.209999,79.919998,75.800003,79.120003
"2016-01-15",76.330002,78.169998,76.300003,77.580002
"2016-01-19",77.93,78.239998,75.190002,76.400002
"2016-01-20",75.07,75.720001,71.550003,73.18
"2016-01-21",73.160004,74.989998,72.610001,74.099998
"2016-01-22",76.419998,76.769997,74.720001,76.57
"2016-01-25",75.75,76.339996,73.900002,73.980003
"2016-01-26",74.769997,76.769997,74.25,76.699997
"2016-01-27",76,77.470001,74.720001,75.290001
"2016-01-28",77.349998,77.660004,75.620003,76.989998
"2016-01-29",76.730003,77.849998,76.25,77.849998
"2016-02-01",76.660004,76.790001,75.440002,76.290001
"2016-02-02",74.190002,75.620003,73.550003,74.589996
"2016-02-03",75.529999,78.529999,74.260002,78.480003
"2016-02-04",78.580002,80,77.559998,79.830002
"2016-02-05",79.400002,80.099998,78.57,80.080002
"2016-02-08",79.300003,81.779999,78.910004,81.160004
"2016-02-09",79.980003,80.669998,78.690002,80.080002
"2016-02-10",79.769997,81.449997,79.279999,79.349998
"2016-02-11",78.339996,80.150002,77.580002,79.599998
"2016-02-12",80.080002,81.07,79.809998,81.029999
"2016-02-16",81.699997,81.849998,80.279999,81.220001
"2016-02-17",81.650002,82.779999,81.160004,82
"2016-02-18",82.900002,83.059998,81.860001,82.449997
"2016-02-19",82.190002,82.550003,80.910004,82.5
"2016-02-22",82.5,83.440002,82.199997,82.389999
"2016-02-23",81.989998,82.370003,80.879997,81.230003
"2016-02-24",79.910004,81.769997,79.669998,81.519997
"2016-02-25",81.559998,82.07,80.019997,82.010002
"2016-02-26",82.889999,83.080002,81.690002,81.75
"2016-02-29",81.879997,82.400002,80.050003,80.150002
"2016-03-01",80.559998,81.769997,80.32,81.279999
"2016-03-02",80.949997,82.720001,80.309998,82.699997
"2016-03-03",82.660004,82.720001,81.540001,82.400002
"2016-03-04",82.660004,82.970001,81.760002,82.290001
"2016-03-07",82.309998,84.459999,82.209999,84.459999
"2016-03-08",84,84.209999,82.480003,82.629997
"2016-03-09",83.220001,83.849998,82.239998,82.400002
"2016-03-10",82.419998,82.660004,80.93,82.18
"2016-03-11",83.220001,83.529999,82.010002,82.190002
"2016-03-14",81.480003,82.639999,81.019997,82.410004
"2016-03-15",81.599998,82.849998,81.519997,82.82
"2016-03-16",83.019997,83.160004,81.940002,82.870003
"2016-03-17",83.68,84.68,82.720001,84.099998
"2016-03-18",84.589996,84.599998,83.25,84.199997
"2016-03-21",83.839996,84.139999,83.5,83.620003
"2016-03-22",83.080002,84.860001,83.010002,84.120003
"2016-03-23",83.860001,84.300003,83.519997,83.75
"2016-03-24",82.940002,84.029999,82.93,83.980003
"2016-03-28",84.029999,84.360001,83.699997,84.220001
"2016-03-29",83.669998,84.610001,83.160004,84.529999
"2016-03-30",85.029999,85.050003,84,84.519997
"2016-03-31",84.07,85.099998,83.589996,83.589996
"2016-04-01",82.400002,83.389999,82.389999,82.959999
"2016-04-04",83.059998,83.900002,82.779999,83.160004
"2016-04-05",82.610001,83.129997,81.989998,82.209999
"2016-04-06",82.690002,83.459999,82.300003,83.309998
"2016-04-07",82.760002,83.169998,82.050003,82.370003
"2016-04-08",83.300003,83.449997,82.849998,83.209999
"2016-04-11",83.330002,84.239998,83.279999,83.32
"2016-04-12",83.690002,84.629997,83.370003,84.349998
"2016-04-13",84.5,84.910004,84.040001,84.830002
"2016-04-14",85,85.900002,84.760002,85.43
"2016-04-15",85.300003,85.660004,84.779999,84.970001
"2016-04-18",84.970001,85.860001,83.860001,85.779999
"2016-04-19",85.849998,86.309998,85.220001,86.209999
"2016-04-20",86.230003,87.440002,85.970001,86.800003
"2016-04-21",86.589996,87.839996,86.57,86.790001
"2016-04-22",87.239998,87.639999,86.82,87.529999
"2016-04-25",87.089996,87.400002,86.349998,87.330002
"2016-04-26",87.75,87.940002,87.059998,87.629997
"2016-04-27",87.949997,88.720001,87.330002,88.459999
"2016-04-28",87.860001,88.779999,87.5,88.029999
"2016-04-29",88.68,89.779999,87.739998,88.400002
"2016-05-02",88.239998,89.480003,88.080002,89.129997
"2016-05-03",88.400002,88.629997,87.360001,88.110001
"2016-05-04",88.300003,88.739998,87.599998,87.940002
